_time,EventCode,ComputerName,Account_Name,TargetUserName,src_ip,FailureReason,ServiceName,ImagePath,TaskName,Command,Group_Name
2025-08-21 10:00:00,4625,WINLAB-PC,,labadmin,192.168.56.50,WrongPassword,,,,,
2025-08-21 10:01:00,4625,WINLAB-PC,,labadmin,192.168.56.50,WrongPassword,,,,,
2025-08-21 10:02:00,4625,WINLAB-PC,,labadmin,192.168.56.50,WrongPassword,,,,,
2025-08-21 10:10:00,4624,WINLAB-PC,labadmin,192.168.56.50,Success,,,,,,
2025-08-21 10:20:00,4624,WINLAB-PC,labadmin,192.168.56.50,Success,,,,,,
2025-08-21 10:30:00,5140,WINLAB-PC,labadmin,192.168.56.50,,,"","",,\\ADMIN$,
2025-08-21 10:45:00,7045,WINLAB-PC,labadmin,,,,"UpdaterSvc","C:\\ProgramData\\Updater\\upd.exe",,, 
2025-08-21 11:00:00,4720,WINLAB-PC,admin,,,backupsvc,,,,,
2025-08-21 11:05:00,4732,WINLAB-PC,admin,,,backupsvc,,,,Administrators,
2025-08-21 11:15:00,4698,WINLAB-PC,labadmin,,,,"","",ChromeUpdateDaily,"C:\\Users\\labadmin\\AppData\\chromehelper.exe",
